"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","42","Login(staff) - Admin - Invalid Password","FamaEMR - Test pack","Sun Feb 16 18:27:36 GMT 2025","failed","Sun Feb 16 18:27:36 GMT 2025","Authentication > Authentication - Login (staff) - Admin","SUPER_ADMIN","",""
"","41","Fetch Sponsors","FamaEMR - Test pack","Sun Feb 16 18:27:52 GMT 2025","failed","Sun Feb 16 18:27:52 GMT 2025","Sponsors > FetchSponsor","RECEPTIONIST","",""
"","56","Get Unique Appointment-NoFound","FamaEMR - Test pack","Sun Feb 16 18:27:40 GMT 2025","failed","Sun Feb 16 18:27:40 GMT 2025","Appointment > Appointment-GetUnique","SUPER_ADMIN","",""
"","42","Fetch Sponsors-NoToken","FamaEMR - Test pack","Sun Feb 16 18:27:48 GMT 2025","failed","Sun Feb 16 18:27:48 GMT 2025","Sponsors > FetchSponsor","DOCTOR","",""
"","40","Create-Service","FamaEMR - Test pack","Sun Feb 16 18:27:53 GMT 2025","failed","Sun Feb 16 18:27:53 GMT 2025","Services > Service-Create","RECEPTIONIST","",""
"","39","Fetch generic-InvalidToken","FamaEMR - Test pack","Sun Feb 16 18:27:47 GMT 2025","failed","Sun Feb 16 18:27:47 GMT 2025","Drugs-FetchGenricDrugs","DOCTOR","",""
"","261","Login(staff) - Authentication","FamaEMR - Test pack","Sun Feb 16 18:27:35 GMT 2025","failed","Sun Feb 16 18:27:35 GMT 2025","Authentication > Authentication - Register (staff)","SUPER_ADMIN","",""
"","44","Unique Patient Appointment (patient upi)-Receptionist-NotFound","FamaEMR - Test pack","Sun Feb 16 18:27:52 GMT 2025","passed","Sun Feb 16 18:27:52 GMT 2025","Appointment > Appointment > Appointment-Patient upi","RECEPTIONIST","",""
"","42","Get Unique Patient(upi)-Doctor","FamaEMR - Test pack","Sun Feb 16 18:27:45 GMT 2025","failed","Sun Feb 16 18:27:45 GMT 2025","Users(Patient) > Users(Patient)-Unique(upi)","DOCTOR","",""
"","53","Create Sponsor Plan","FamaEMR - Test pack","Sun Feb 16 18:27:41 GMT 2025","failed","Sun Feb 16 18:27:41 GMT 2025","Sponsors > CreateSponsorPlan","SUPER_ADMIN","",""
"","52","Get Clinical Staff-SuperAdmin","FamaEMR - Test pack","Sun Feb 16 18:27:39 GMT 2025","failed","Sun Feb 16 18:27:39 GMT 2025","Users(Staff) > Users(Staff)-Clinical","SUPER_ADMIN","",""
"","52","Get Unique Appointment-ExpiredToken","FamaEMR - Test pack","Sun Feb 16 18:27:52 GMT 2025","failed","Sun Feb 16 18:27:52 GMT 2025","Appointment > Appointment > Appointment-GetUnique","RECEPTIONIST","",""
"","41","Get Unique Patient(upi)-Receptionist-ExpiredToken","FamaEMR - Test pack","Sun Feb 16 18:27:50 GMT 2025","failed","Sun Feb 16 18:27:50 GMT 2025","Users(Patient) > Users(Patient)-Unique(upi)","RECEPTIONIST","",""
"","38","Get Unique Plan by Name-ExpiredToken","FamaEMR - Test pack","Sun Feb 16 18:27:49 GMT 2025","failed","Sun Feb 16 18:27:49 GMT 2025","Sponsors > Get Unique Plan by Name","DOCTOR","",""
"","38","Fetch Unique Sponsor (uuid)-InvalidToken","FamaEMR - Test pack","Sun Feb 16 18:27:49 GMT 2025","failed","Sun Feb 16 18:27:49 GMT 2025","Sponsors > Fetch Unique Sponsor (uuid)","DOCTOR","",""
"","46","Search Patient by uuid-SuperAdmin","FamaEMR - Test pack","Sun Feb 16 18:27:38 GMT 2025","failed","Sun Feb 16 18:27:39 GMT 2025","Users(Patient) > Users(PatientSearch)","SUPER_ADMIN","",""
"","41","Get Unique Plan by Name-ExpiredToken","FamaEMR - Test pack","Sun Feb 16 18:27:42 GMT 2025","failed","Sun Feb 16 18:27:42 GMT 2025","Sponsors > Get Unique Plan by Name","SUPER_ADMIN","",""
"","40","Get Investigation by plan_code","FamaEMR - Test pack","Sun Feb 16 18:27:43 GMT 2025","failed","Sun Feb 16 18:27:43 GMT 2025","Services > Investigation by plan_code","SUPER_ADMIN","",""
